Time,Freq
0,+3.84010852120613E+007
0.1,+3.84010852120613E+007
0.2,+3.84010856269528E+007
0.3,+3.84010859735510E+007
0.4,+3.84010869774676E+007
0.5,+3.84010871938025E+007
0.6,+3.84010873710682E+007
0.7,+3.84010875363090E+007
0.8,+3.84010876912923E+007
0.9,+3.84010878276151E+007
1,+3.84010879594314E+007
1.1,+3.84010880798328E+007
1.2,+3.84010881838871E+007
1.3,+3.84010882887701E+007
1.4,+3.84010883840787E+007
1.5,+3.84010884607959E+007
1.6,+3.84010885408932E+007
1.7,+3.84010886243388E+007
1.8,+3.84010886829010E+007
1.9,+3.84010887376962E+007
2,+3.84010888104123E+007
2.1,+3.84010889908023E+007
2.2,+3.84010890348238E+007
2.3,+3.84010890804260E+007
2.4,+3.84010891242242E+007
2.5,+3.84010891590356E+007
2.6,+3.84010891869053E+007
2.7,+3.84010892208166E+007
2.8,+3.84010892564234E+007
2.9,+3.84010892767646E+007
3,+3.84010893120528E+007
3.1,+3.84010893411126E+007
3.2,+3.84010893635315E+007
3.3,+3.84010893939883E+007
3.4,+3.84010894185849E+007
3.5,+3.84010894391788E+007
3.6,+3.84010894657151E+007
3.7,+3.84010894783688E+007
3.8,+3.84010895510438E+007
3.9,+3.84010895613633E+007
4,+3.84010895764304E+007
4.1,+3.84010895894214E+007
4.2,+3.84010896071988E+007
4.3,+3.84010896207372E+007
4.4,+3.84010896260771E+007
4.5,+3.84010896436639E+007
4.6,+3.84010896486650E+007
4.7,+3.84010896628740E+007
4.8,+3.84010896730903E+007
4.9,+3.84010896847572E+007
5,+3.84010896956084E+007
5.1,+3.84010896960713E+007
5.2,+3.84010897091724E+007
5.3,+3.84010897248961E+007
5.4,+3.84010897318579E+007
5.5,+3.84010897530411E+007
5.6,+3.84010897646707E+007
5.7,+3.84010897779261E+007
5.8,+3.84010897857957E+007
5.9,+3.84010897992503E+007
6,+3.84010898041352E+007
6.1,+3.84010898120452E+007
6.2,+3.84010898165611E+007
6.3,+3.84010898250323E+007
6.4,+3.84010898382861E+007
6.5,+3.84010898365255E+007
6.6,+3.84010898564504E+007
6.7,+3.84010898633254E+007
6.8,+3.84010898668792E+007
6.9,+3.84010898672567E+007
7,+3.84010898780095E+007
7.1,+3.84010898844597E+007
7.2,+3.84010899087911E+007
7.3,+3.84010899209619E+007
7.4,+3.84010899283796E+007
7.5,+3.84010899369834E+007
7.6,+3.84010899531754E+007
7.7,+3.84010899630871E+007
7.8,+3.84010899678921E+007
7.9,+3.84010899677425E+007
8,+3.84010899726483E+007
8.1,+3.84010899829158E+007
8.2,+3.84010899921073E+007
8.3,+3.84010899957378E+007
8.4,+3.84010899987923E+007
8.5,+3.84010899976659E+007
8.6,+3.84010900028562E+007
8.7,+3.84010900045804E+007
8.8,+3.84010900137827E+007
8.9,+3.84010900107848E+007
9,+3.84010900210213E+007
9.1,+3.84010900218508E+007
9.2,+3.84010900261946E+007
9.3,+3.84010900269117E+007
9.4,+3.84010900256473E+007
9.5,+3.84010900314175E+007
9.6,+3.84010900297910E+007
9.7,+3.84010900326843E+007
9.8,+3.84010900295391E+007
9.9,+3.84010900324230E+007
10,+3.84010900365598E+007
10.1,+3.84010900321990E+007
10.2,+3.84010900362714E+007
10.3,+3.84010900388770E+007
10.4,+3.84010900304360E+007
10.5,+3.84010900435472E+007
10.6,+3.84010900440519E+007
10.7,+3.84010900479600E+007
10.8,+3.84010900552094E+007
10.9,+3.84010900519339E+007
11,+3.84010900671166E+007
11.1,+3.84010900622263E+007
11.2,+3.84010900699478E+007
11.3,+3.84010900719612E+007
11.4,+3.84010900723914E+007
11.5,+3.84010900736140E+007
11.6,+3.84010900758514E+007
11.7,+3.84010900790377E+007
11.8,+3.84010900801843E+007
11.9,+3.84010900825140E+007
12,+3.84010900943863E+007
12.1,+3.84010900927241E+007
12.2,+3.84010900873392E+007
12.3,+3.84010900944700E+007
12.4,+3.84010900901402E+007
12.5,+3.84010900917713E+007
12.6,+3.84010900922613E+007
12.7,+3.84010900998317E+007
12.8,+3.84010901004356E+007
12.9,+3.84010901037522E+007
13,+3.84010901086851E+007
13.1,+3.84010901034498E+007
13.2,+3.84010901066113E+007
13.3,+3.84010901073021E+007
13.4,+3.84010901080021E+007
13.5,+3.84010901096224E+007
13.6,+3.84010901136212E+007
13.7,+3.84010901142391E+007
13.8,+3.84010901119296E+007
13.9,+3.84010901221064E+007
14,+3.84010901115590E+007
14.1,+3.84010901220723E+007
14.2,+3.84010901213970E+007
14.3,+3.84010901274223E+007
14.4,+3.84010901206411E+007
14.5,+3.84010901175075E+007
14.6,+3.84010901297745E+007
14.7,+3.84010901282968E+007
14.8,+3.84010901204946E+007
14.9,+3.84010901258679E+007
15,+3.84010901201318E+007
15.1,+3.84010901235832E+007
15.2,+3.84010901298690E+007
15.3,+3.84010901232390E+007
15.4,+3.84010901190922E+007
15.5,+3.84010901327398E+007
15.6,+3.84010901380813E+007
15.7,+3.84010901366021E+007
15.8,+3.84010901313257E+007
15.9,+3.84010901316576E+007
16,+3.84010901338415E+007
16.1,+3.84010901408102E+007
16.2,+3.84010901393241E+007
16.3,+3.84010901374007E+007
16.4,+3.84010901471410E+007
16.5,+3.84010901434019E+007
16.6,+3.84010901409397E+007
16.7,+3.84010901333771E+007
16.8,+3.84010901370789E+007
16.9,+3.84010901364014E+007
17,+3.84010901347454E+007
17.1,+3.84010901377123E+007
17.2,+3.84010901463440E+007
17.3,+3.84010901464045E+007
17.4,+3.84010901404746E+007
17.5,+3.84010901424026E+007
17.6,+3.84010901288178E+007
17.7,+3.84010901327212E+007
17.8,+3.84010901365859E+007
17.9,+3.84010901407071E+007
18,+3.84010901346322E+007
18.1,+3.84010901359486E+007
18.2,+3.84010901448834E+007
18.3,+3.84010901358990E+007
18.4,+3.84010901312699E+007
18.5,+3.84010901310730E+007
18.6,+3.84010901339384E+007
18.7,+3.84010901400342E+007
18.8,+3.84010901259230E+007
18.9,+3.84010901399435E+007
19,+3.84010901380224E+007
19.1,+3.84010901427096E+007
19.2,+3.84010901380348E+007
19.3,+3.84010901387504E+007
19.4,+3.84010901351431E+007
19.5,+3.84010901363510E+007
19.6,+3.84010901327367E+007
19.7,+3.84010901339345E+007
19.8,+3.84010901321839E+007
19.9,+3.84010901341027E+007
20,+3.84010901400288E+007
20.1,+3.84010901370820E+007
20.2,+3.84010901385713E+007
20.3,+3.84010901343260E+007
20.4,+3.84010901267354E+007
20.5,+3.84010901240980E+007
20.6,+3.84010901250066E+007
20.7,+3.84010901318599E+007
20.8,+3.84010901447687E+007
20.9,+3.84010901412025E+007
21,+3.84010901380945E+007
